Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Grave Tender	rainforestrumble	grave_tender.png	Character	Eaters of the Lotus	Necropolis Gardener	2	{lot}	{lot}{mag}	2			Fixed	grave tender necropolis gardener	When combat damage is inflicted on a Site at this card's location, put an "Undead" token into play. <Undead> Characters you control gain Corrupted.	
Imperial Agent	rainforestrumble	imperial_agent.png	Character	Eaters of the Lotus	Forbidden Principle Thorn	3	{lot}	{lot}	2			Fixed	imperial agent forbidden principle thorn	Regenerate. Corrupted. Turn and sacrifice this card and target a Character :: Take control of target until the end of the turn.	
Imperial Retainer	rainforestrumble	imperial_retainer.png	Character	Eaters of the Lotus	Eunuch Physician	1	{lot}	{lot}{mag}	1			Fixed	imperial retainer eunuch physician	When one or more cards you control heals from Regenerate at the start of your turn, gain 1 Power. Turn and maintain and target a Character :: Target gains Regenerate.	
Chupacabra	rainforestrumble	chupacabra.png	Character	Eaters of the Lotus	Goat-Sucking Demon	3	{lot}{lot}	{lot}	5			Fixed	chupacabra goat sucking demon	Corrupted. Cannot turn to heal. When a Character you control at this location would be smoked, you may toast that Character instead :: Heal this card.	
El Coco	rainforestrumble	el_coco.png	Character	Eaters of the Lotus	Ghost Bogeyman	3	{lot}{lot}	{lot}	3			Fixed	el coco ghost bogeyman	Cannot be sacrificed. When an opponent plays a 0-cost card during any Main Shot, you may return this card to play from your smoked pile. If an opponent controls a card with Corrupted damage on it, this card generates 1 Power during your Establishing Shot.	
Magistrate Pang Yet Sung	rainforestrumble	magistrate_pang_yet_sung.png	Character	Eaters of the Lotus	Disgruntled Martial Artist	3	{lot}{lot}	{lot}{chi}	4			Fixed	magistrate pang yet sung disgruntled martial artist	Unique. Loyalty. When this card enters play, you may target an Edge or State :: Smoke target. +2 combat damage against non-Unique cards.	
Pishtaco	rainforestrumble	pishtaco.png	Character	Eaters of the Lotus	Vampire Demon	3	{lot}{mag}	{lot}{mag}	1			Fixed	pishtaco vampire demon	Regenerate. +X Fighting. When you play this card, choose an opponent.  X = the number of Characters controlled by the chosen player when this card entered play.  When this card smokes a Character in combat, it gains +1 Fighting until it leaves play.	
Walker of the Purple Twilight	rainforestrumble	walker_of_the_purple_twilight.png	Character	Eaters of the Lotus	Eunuch Sorcerer	4	{lot}{lot}	{lot}{mag}{mag}	6			Fixed	walker purple twilight eunuch sorcerer	When this card inflicts combat damage, you may target a Character or Site :: Inflict 1 Corrupted non-combat damage on target.	
El Hombre Caiman	rainforestrumble	el_hombre_caiman.png	Character	Eaters of the Lotus	Darkness Horror	5	{lot}{lot}{lot}	{lot}{mag}	7			Fixed	el hombre caimn darkness horror	While this card is attacking, combat damage inflicted on it is reduced to 0. When this card inflicts combat damage on the target of its attack, the target's controller must discard 2 cards at random.	
La Sayona	rainforestrumble	la_sayona.png	Character	Eaters of the Lotus	Scorned Ghost	4	{lot}{lot}{mag}	{lot}	6			Fixed	la sayona scorned ghost	Assassinate. Discard a card :: This card gains Stealth until the end of the turn.	
Santa Muerte	rainforestrumble	santa_muerte.png	Character	Eaters of the Lotus	Sinister Statue	2	{lot}{lot}{lot}	{lot}	2			Fixed	santa muerte sinister statue	Unique. Toughness: 1. Stealth. Assassinate. Once per turn, you may target a Character :: Target gains Stealth and Assassinate until the end of the turn.	
Jueding Xiulan	rainforestrumble	jueding_xiulan.png	Character	Eaters of the Lotus	Gloating Eunuch Sorcerer	6	{lot}{lot}{lot}{lot}	{lot}{mag}{mag}	11			Fixed	jueding xiulan gloating eunuch sorcerer	Unique. When this card enters play all other <Eunuch> Characters you control gain +1 Fighting until they leave play. When you seize or burn a Site for victory, you may play this card at -X cost. X = the number of Sites you are away from victory.	
Mapinguari	rainforestrumble	mapinguari.png	Character	Eaters of the Lotus	Fearsome Spirit	5	{lot}{lot}{lot}{mag}	{lot}	9			Fixed	mapinguari fearsome spirit	Uncopyable. While this card is attacking, all Characters at the target of the attack's location must be declared as interceptors against "Mapinguari."	
Massacooramaan	rainforestrumble	massacooramaan.png	Character	Eaters of the Lotus Four Monarchs	Rainforest Darkness Demon	4	{lot}{lot}{lot}{lot}	{lot}	4			Fixed	massacooramaan rainforest darkness demon	Ambush. Lethal while attacking. You may substitute {mon} for each resource condition of this card.	
Dimensional Prison	rainforestrumble	dimensional_prison.png	Edge	Eaters of the Lotus	Darkness Edge	2	{lot}{lot}{lot}{mag}					Fixed	dimensional prison darkness	Unique. Play during any Main Shot. When this card enters play, target a Unique Character :: Until this card leaves play, place target under this card; target is not in play. Players cannot play or return to play cards with the same title as target. If this card leaves play, return target to play.	
Hemomantic Communion	rainforestrumble	hemomantic_communion.png	Edge	Eaters of the Lotus	Vampire Edge	2	{lot}					Fixed	hemomantic communion vampire	Turn when an attacking Character you control smokes a Character that is the target of its attack :: Return the smoked Character to play under your control. Smoke that Character at the end of the turn.	
Imperial Edict	rainforestrumble	imperial_edict.png	Edge	Eaters of the Lotus	Edge	1	{lot}{lot}					Fixed	imperial edict	Sacrifice X non-token Characters :: Play a <Darkness> card at -X cost.	
The Dance of Death	rainforestrumble	the_dance_of_death.png	Event	Eaters of the Lotus	Event	1	{lot}{lot}{lot}{mag}					Fixed	dance death	Sacrifice X Characters :: Return <Ghost>, <Spirit>, or <Undead> Characters from your smoked pile to play with a total cost no greater than X + 2. Those Characters cannot be sacrificed.	
Noche de Brujas	rainforestrumble	noche_de_brujas.png	Event	Eaters of the Lotus	Event	2	{lot}{lot}					Fixed	noche de brujas	Inflict one Unstoppable, Corrupted non-Combat damage on each Character in play. If this smokes one or more Characters, repeat this effect. Each repetition is considered a separate source of damage.	
Petal's Knell	rainforestrumble	petals_knell.png	Event	Eaters of the Lotus	Event	1	{lot}{lot}					Fixed	petal knell	Limited. Put a "Thorn" token into play. If you played this card during an opponent's turn, you may declare one attack against a Character this turn.	
"Witness My Limitless Power!"	rainforestrumble	witness_my_limitless_power.png	Event	Eaters of the Lotus	Event	0	{lot}{lot}{lot}					Fixed	witness my limitless power	Limited. Play when you smoke an opponent's Character :: Gain 1 Power. Gain an additional Power if you now control the only Character with the highest Fighting.	
Xitllali's Vengeance	rainforestrumble	xitllalis_vengeance.png	Event	Eaters of the Lotus	Event	1	{lot}					Fixed	xitllali vengeance	Until the end of the turn, damaged Characters cannot intercept or be declared as attackers and damaged Sites are canceled.	
Forbidden Principle Senshi Chamber	rainforestrumble	forbidden_principle_senshi_chamber.png	Site	Eaters of the Lotus	Site	2	{lot}	{lot}		1	8	Fixed	forbidden principle senshi chamber	Unique. <Martial>, <Eunuch>, and <Thorn> Characters you control gain Regenerate and Corrupted. Turn and maintain and target a card :: Target cannot heal.	
Shadow of a Doubt	rainforestrumble	shadow_of_a_doubt.png	State	Eaters of the Lotus	Curse State	0	{lot}{lot}{lot}					Fixed	shadow doubt curse	Subject Character may only intercept as part of a chain. Subject may not be declared as the only attacker.	
Rainforest Shaman	rainforestrumble	rainforest_shaman.png	Character	Four Monarchs	Thunder Mystic	2		{mon}{mag}	2			Fixed	rainforest shaman thunder mystic	Target a Character and sacrifice this card :: Target gains Ambush until the end of the turn. Upgrade: {mon}{mon}3: 3 Fighting. Ambush.	
Rainforest Amazons	rainforestrumble	rainforest_amazons.png	Character	Four Monarchs	Thunder Warriors	3	{mon}	{mon}	3			Fixed	rainforest amazon thunder warrior	Ambush. Unstoppable. If an attack is declared against a Site you control and you had no Characters in play when the attack was declared, you may return exactly one "Rainforest Amazons" to play at the location of the attack.	
Amazon Swordswoman	rainforestrumble	amazon_swordswoman.png	Character	Four Monarchs	Rainforest Warrior	2	{mon}{mon}	{mon}	3			Fixed	amazon sword woman rainforest warrior	When this card enters combat with a Character, inflict X non-combat damage on that Character. X = the amount of Power in the pool of that Character's controller.	
Brushfire Brigade	rainforestrumble	brushfire_brigade.png	Character	Four Monarchs	Fire Platoon	4	{mon}{mon}	{mon}	6			Fixed	brushfire brigade fire platoon	Tactics. Toughness: 1.	
El Dorado's Golden Javelineers	rainforestrumble	el_dorados_golden_javelineers.png	Character	Four Monarchs	Rainforest Warriors	4	{mon}{mon}	{mon}	6			Fixed	el dorado golden javelineers rainforest warrior	Pay 1 Power and target a Character at this location :: Inflict 2 non-combat damage on target.	
Golden Sky Guardians	rainforestrumble	golden_sky_guardians.png	Character	Four Monarchs	Righteous Thunder Warriors	3	{mon}{mon}	{mon}	4			Fixed	golden sky guardian righteous thunder warrior	Toughness: 1 against undamaged Characters. Ambush against damaged Characters.	
Rainforest Guardian	rainforestrumble	rainforest_guardian.png	Character	Four Monarchs	Vengeful Spirit	1	{mon}{mag}	{mon}	1			Fixed	rainforest guardian vengeful spirit	May attack during an opponent's turn. When an opponent declares an attack against a card you control, or targets a card you control with an Event, this card inflicts +2 combat damage until the end of the turn against cards controlled by that opponent.	
Saint Khalkos	rainforestrumble	saint_khalkos.png	Character	Four Monarchs	Golden Prophet of the Thunder King	5	{mon}{mon}	{mon}{mag}	8			Fixed	saint khalkos golden prophet thunder king	Unique. Loyalty. Toughness: 2 while undamaged. Ambush while damaged.	
Smoke Weaver	rainforestrumble	smoke_weaver.png	Character	Four Monarchs	Secret Fire Infiltrator	0	{mon}{mon}X	{mon}{chi}	X			Fixed	smoke weaver secret fire infiltrator	Tactics. Play during any Main Shot, including in response to an Event. If you played this card in response to an Event with a printed cost less than X, you may change the target(s) of that Event to any new legal target(s). X must be at least 1.	
Kassandra	rainforestrumble	kassandra.png	Character	Four Monarchs	Thunder Warrior	3	{mon}{mon}{mon}	{mon}	4			Fixed	kassandra thunder warrior	Unique. Loyalty. Once per turn you may play a <Thunder> card at -1 cost. When an opponent's effect would toast one or more cards, you may toast a non-foundation card in that player's smoked pile.	
Saga North Storm	rainforestrumble	saga_north_storm.png	Character	Four Monarchs	Ice and Thunder Clone	4	{mon}{mon}{mon}	{mon}{mag}	6			Fixed	saga north storm ice thunder clone	Unique. Tactics. If this card is attacking, once per attack you may target a Character at this location :: Either heal 2 damage from target or target gains +2 combat damage until the end of the attack.	
Optoneira, Amazon Queen	rainforestrumble	optoneira_amazon_queen.png	Character	Four Monarchs	Rainforest Warrior	6	{mon}{mon}{mon}{mon}	{mon}{mag}	9			Fixed	optoneira amazon queen rainforest warrior	Unique. <Rainforest> and <Warrior> Characters you control gain Ambush and may turn to attack during an opponent's turn.	
Sacred Cairn	rainforestrumble	sacred_cairn.png	Edge	Four Monarchs	Edge	1	{mon}{mon}{mon}					Fixed	sacred cairn	Limited. Characters you control that do not share a title with any other Character you control gain +1 Fighting.	
Flash Flood	rainforestrumble	flash_flood.png	Event	Four Monarchs	Rainforest Event	0	{mon}					Fixed	flash flood rainforest	Target an opponent and turn X Characters you control :: Smoke any number of States controlled by target whose combined printed costs are less than X+2. (X may be zero.)	
Float Like A Butterfly	rainforestrumble	float_like_a_butterfly.png	Event	Four Monarchs	Event	1	{mon}{mon}					Fixed	float like butterfly	Limited. Target a Character you control :: If unturned, target may attack once without turning during your Main Shot.	
Judgment of Thunder	rainforestrumble	judgment_of_thunder.png	Event	Four Monarchs	Righteous Event	1	{mon}{mon}{mon}					Fixed	judgment thunder righteous	Play in response to a <Thunder> Character you control being smoked by an opponent's Character. Target that Character :: Smoke target.	
Presence of Their Father	rainforestrumble	presence_of_their_father.png	Event	Four Monarchs	Netherworld Event	0	{mon}{mon}					Fixed	presence their father netherworld	Toast It. No Events may be played in response to this card. No more Events may be played this turn.	
Unrelenting Downpour	rainforestrumble	unrelenting_downpour.png	Event	Four Monarchs	Rainforest Event	1	{mon}{mon}					Fixed	unrelenting downpour rainforest	Inflict 1 Stun non-combat damage on all attacking Characters.	
Inky Pool Of Darkness	rainforestrumble	inky_pool_of_darkness.png	State	Four Monarchs	Netherworld State	2	{mon}{mon}{mag}					Fixed	inky pool darkness netherworld	Play on a Site. Characters you control attacking a target at subject’s location gain Assassinate and +2 combat damage. While you control only one attacker at this location, it gains Ambush.	
Null Entity	rainforestrumble	null_entity.png	Character	Purists	Construct of the Void	1		{pur}	1			Fixed	null entity construct void	Target a card at this location and sacrifice this card :: Cancel target until the end of the turn.	
Twisted Villagers	rainforestrumble	twisted_villagers.png	Character	Purists	Spirit-Wracked Pawns	1		{pur}{mag}	1			Fixed	twisted villager spirit wracked pawn	Upgrade {pur}{pur}3: 3 Fighting. When this card enters play, put a "Cultist" token into play.	
Deep Dweller	rainforestrumble	deep_dweller.png	Character	Purists	Siren Horror	2	{pur}	{pur}	2			Fixed	deep dweller siren horror	Sentinel. Turn and target an attacker that is not attacking this card :: Change the target of target's attack to this card.	
Tidal Horrors	rainforestrumble	tidal_horrors.png	Character	Purists	Deep Sea Spirits	2	{pur}	{pur}{mag}	2			Fixed	tidal horror deep sea spirit	Regenerate. This card enters play with two counters on it. At the start of your turn, remove a counter from this card if possible, otherwise add two counters. This card gains +X Fighting. X= The number of counters on it.	
Twilit Trawler	rainforestrumble	twilit_trawler.png	Character	Purists	Deep Sea Spirit	3	{pur}	{pur}{mag}	3			Fixed	twilit trawler deep sea spirit	Mobility. Sentinel. +X combat damage. X = the total Power generation of all Sites you control.	
Andrea Van de Graaf	rainforestrumble	andrea_van_de_graaf.png	Character	Purists	Purist High Sorceress	4	{pur}{pur}{pur}	{pur}{mag}	6			Fixed	andrea van de graaf purist high sorceress	Unique. Turn a card you control that provides {mag} and target a Character at this location :: Inflict one non-combat damage on target.	
Dr. Celeste Carter	rainforestrumble	dr_celeste_carter.png	Character	Purists	Purist Strategist	3	{pur}{pur}{pur}	{pur}{mag}	4			Fixed	dr celeste carter purist strategist	Unique. Characters you control gain Sentinel and Assassinate. Turn and maintain an Edge and target a Character :: Target gains Toughness: 1.	
Jeroen Becker	rainforestrumble	jeroen_becker.png	Character	Purists	Purist Mastermind	4	{pur}{pur}{pur}	{pur}{mag}	5			Fixed	jeroen becker purist mastermind	Unique. Uncopyable. Your hand size is increased by one. Decrease all opponents' hand size by one. While all other players have fewer cards in their hand than you, this card gains +4 Fighting.	
Father of the Deep	rainforestrumble	father_of_the_deep.png	Character	Purists	Spirit of Hunger	6	{pur}{pur}{mag}{mag}	{pur}{mag}	10			Fixed	father deep spirit hunger	Unique. Mobility. +X Fighting. X = the total Power generation of all Sites you control. When this card turns to attack, you may rearrange each opponent's Site structure. This cannot move a Site to a position that was not previously occupied. This may change the target of an attack.	
Cabal Rites	rainforestrumble	cabal_rites.png	Edge	Purists	Cultist Edge	1		{pur}				Fixed	cabal rite cultist	Your hand size is increased by one. Sacrifice this card and a Character :: Draw two cards then discard a card.	
Consensus Reality	rainforestrumble	consensus_reality.png	Edge	Purists	Edge	1	{pur}{pur}					Fixed	consensus reality	Turn any combination of two Characters and/or Power-generating Sites you control :: Until the end of the turn, this card becomes a Character with a printed Fighting of 4. Place it at a location you control. (This card is still an Edge.)	
Fractal Remembrance	rainforestrumble	fractal_remembrance.png	Event	Purists	Event	0	{pur}{pur}{pur}					Fixed	fractal remembrance	You may discard a card. When a Unique Character is smoked, you may Reload exactly one "Fractal Remembrance" and put a "Construct" token into play.	
Oscillating Illusion	rainforestrumble	oscillating_illusion.png	Event	Purists	Mesmerizing Event	1	{pur}					Fixed	oscillating illusion mesmerizing	Until the end of the turn, cancel all your opponents' cards that share a designator with another card.	
Bioluminescent Bay	rainforestrumble	bioluminescent_bay.png	Site	Purists	Mysterious Site	2	{pur}{pur}	{pur}{mag}		X	6	Fixed	bioluminescent bay mysterious	X = the number of cards named "Bioluminescent Bay" that you control. When you play this card from your hand, you may search your deck for a "Bioluminescent Bay," reveal it, and add it to your hand.	
Undersea River	rainforestrumble	undersea_river.png	Site	Purists	Mysterious Site	1	{pur}	{pur}{mag}		1	5	Fixed	undersea river mysterious	This card cannot be played in your first column.	
Ballerinas	rainforestrumble	ballerinas.png	Character	Syndicate	Corporate Assassins	1		{syn}	1			Fixed	ballerina corporate assassin	Assassinate. Upgrade {syn}{syn}5: 8 Fighting. Once per turn, when this card smokes a Character that was the target of its attack, you may unturn it.	
Cyberrunner	rainforestrumble	cyberrunner.png	Character	Syndicate	Street Hacker	1		{syn}{tek}	1			Fixed	cyber cyberrunner street hacker	Not a legal subject for States. Once per turn, when you play a State, draw a card.	
Ninja Vatjob	rainforestrumble	ninja_vatjob.png	Character	Syndicate	Defrosted Cybernetic Martial Artist	2		{syn}{tek}{chi}	2			Fixed	ninja vatjob defrosted cyber cybernetic martial artist	You may play this card during any Main Shot. This card may attack during opponents' turns. Upgrade {syn}{syn}{syn}{tek}5: 6 Fighting. Ambush.	
Bithead	rainforestrumble	bithead.png	Character	Syndicate	Techie Drone Pilot	1	{syn}	{syn}{tek}	1			Fixed	bithead techie drone pilot	When this card enters play, you may put a "Drone" token into play at this card's location.	
Rainforest Sampler	rainforestrumble	rainforest_sampler.png	Character	Syndicate	Terraforming Investigator	2	{syn}	{syn}{chi}	2			Fixed	rainforest sampler terraforming investigator	Turn and maintain and target a Site :: Increase any number not written as words on target by one. Upgrade {syn}{syn}3: 3 Fighting. Increase all numbers instead of any number.	
FIBUA Team	rainforestrumble	fibua_team.png	Character	Syndicate	Corporate Ninjas	4	{syn}{syn}	{syn}	4			Fixed	fibua team corporate ninja	+X Fighting. X = the number of columns in your site structure. Cannot be intercepted by cards controlled by opponents who control only one location.	
Kitagawa Katsumi	rainforestrumble	kitagawa_katsumi.png	Character	Syndicate	Corporate Fixer	2	{syn}{syn}	{syn}{tek}{chi}	2			Fixed	kitagawa katsumi corporate fixer	Unique. Influence: 3. Once per Main Shot, you may play a State from your smoked pile. States played in this manner gain Toast It.	
Troubleshooter	rainforestrumble	troubleshooter.png	Character	Syndicate	Corporate Hood	3	{syn}{syn}	{syn}{tek}	5			Fixed	troubleshooter corporate hood	Influence: 1. Turn at least 1 Influence and choose Ambush, Toughness: 1, or Unstoppable :: Until the end of the turn, this card gains the chosen ability.	
Metalhead Mechanic	rainforestrumble	metalhead_mechanic.png	Character	Syndicate	Augmented Assassin	4	{syn}{syn}{syn}	{syn}{tek}	5			Fixed	metalhead mechanic augmented assassin	Assassinate. Toughness: 2. When this card smokes the target of its attack, you may pay 1 Power :: This card gains +2 Fighting until it leaves play and you may heal it.	
Tag 'em and Bag 'em	rainforestrumble	tag_em_and_bag_em.png	Edge	Syndicate	Edge	1	{syn}					Fixed	tag em bag	Turn and maintain and target a Character :: When target inflicts combat damage on a card you control inflict 1 Corrupted non-combat damage on target. Upgrade {syn}{syn}{syn}2: Sacrifice and target a damaged Character :: Smoke target.	
Terraforming Projects	rainforestrumble	terraforming_projects.png	Edge	Syndicate	Edge	1		{syn}				Fixed	terraforming project	Sacrifice :: You may search your deck for a Site that is neither Unique nor Limited, show it to your opponents, and add it to your hand.	
Electroshock Lockdown	rainforestrumble	electroshock_lockdown.png	Event	Syndicate	Event	0	{syn}{syn}					Fixed	electroshock lockdown	Target a Character attacking alone :: Target ceases attacking and cannot attack again this turn.	
SUDAM Cartel Wars	rainforestrumble	sudam_cartel_wars.png	Event	Syndicate	Hood Event	2	{syn}{syn}{syn}					Fixed	sudam cartel war hood	Put two "Street Runner" tokens into play. Until the end of the turn if a <Hood> or <Street> Character is attacking, each opponent who intercepts must intercept those Characters if they can.	
SUDAM Black Clinic	rainforestrumble	sudam_black_clinic.png	Site	Syndicate	Cybermod Site	2	{syn}	{syn}{tek}		1	7	Fixed	sudam black clinic cyber cybermod	Once per turn when another <Cyber> card enters or leaves play, draw a card. Upgrade {syn}{syn}{syn}3: Sites you control gain Influence: 2.	
Combined Arms	rainforestrumble	combined_arms.png	State	Syndicate	Cybermod State	0	{syn}X					Fixed	combined arm cyber cybermod	Play during any Main Shot. When you play this card, toast X States in any smoked piles. Subject Character gains Toughness: 1 and Fighting equal to X+the total cost of States toasted in this way.  X must be at least 1.	
Cyber Deck	rainforestrumble	cyber_deck.png	State	Syndicate	State	1	{syn}{syn}{tek}					Fixed	cyber deck	Influence: 2. Subject Character gains +2 Fighting while this card is unturned.	
Flickercladding	rainforestrumble	flickercladding.png	State	Syndicate	Cybermod Clothing State	3	{syn}{syn}{tek}					Fixed	flickercladding cyber cybermod clothing	Subject Character gains +3 Fighting and Ambush.	
Neural-Linked Hand Cannon	rainforestrumble	neural_linked_hand_cannon.png	State	Syndicate	State	2	{syn}{syn}{syn}{tek}					Fixed	neural linked hand cannon	Toast It. Weapon. Play on a Character. Turn this card and target a Character at this location with a cost less than or equal to subject's cost :: Smoke target.	
Lone Wolf	rainforestrumble	lone_wolf.png	Character	Ascended Guiding Hand	Transformed Martial Artist	2	{asc}	{asc}{han}	2			Fixed	lone wolf transformed martial artist	Stealth. While this is the only Character you control at this location, this card gains +1 Fighting. You may substitute {han} for {asc} when playing this card.	
The Devil's Advocate	rainforestrumble	the_devils_advocate.png	Character	Ascended Eaters of the Lotus	Duplicitous Agent	5	{asc}{asc}{asc}{asc}	{asc}{lot}	9			Fixed	devil advocate duplicitous agent	Unique. Stealth. Once per Main Shot you may choose a resource ::  This card requires and provides that resource until the end of the turn. You may substitute {lot} for each resource condition of this card.	
Maverick Freebooter	rainforestrumble	maverick_freebooter.png	Character	Dragons Jammers	Redeemed Pirate	2	{dra}	{dra}{jam}	2			Fixed	maverick freebooter redeemed pirate	Independent. While this card is attacking a turned Site, it gains +2 Fighting. You may substitute {jam} for {dra} when playing this card.	
Old Man Zimm	rainforestrumble	old_man_zimm.png	Character	Dragons Jammers	Old School Punk	2	{dra}{jam}	{dra}{jam}	2			Fixed	old man zimm school punk	Unique. Independent. When an opponent's Site becomes turned put a counter on this card. Remove a counter :: This card gains one Fighting until the end of the turn.	
Cabal Ritualist	rainforestrumble	cabal_ritualist.png	Character	Four Monarchs Eaters of the Lotus	Darkness Priest	2	{mon}	{mon}{lot}	2			Fixed	cabal ritualist darkness priest	Lethal. When this card is sacrificed, gain one Power. You may substitute {lot} for {mon} when playing this card.	
Novice Swordsman	rainforestrumble	novice_swordsman.png	Character	Guiding Hand Four Monarchs	Aspiring Warrior	2	{han}	{han}{mon}	2			Fixed	novice sword man aspiring warrior	Toughness: 1. Once per turn, you may turn a State this card is the subject of :: Heal this card. You may substitute {mon} for {han} when playing this card.	
Fanatic Ascetic	rainforestrumble	fanatic_ascetic.png	Character	Guiding Hand Jammers	Rebel Monk	2	{han}	{han}{jam}	2			Fixed	fanatic ascetic rebel monk	While you have no Power in your pool, this card gains +1 Fighting and Unstoppable. While you have two or fewer cards in your hand, this card gains Superleap. You may substitute {jam} for {han} when playing this card.	
Molotov-Mad Maniac	rainforestrumble	molotov_mad_maniac.png	Character	Jammers Four Monarchs	Fire Scientist	2	{jam}	{jam}{mon}	2			Fixed	molotov mad maniac fire scientist	Turn and target a damaged card :: Inflict one non-combat damage on target. You may substitute {mon} for {jam} when playing this card.	
Purist Geomancer	rainforestrumble	purist_geomancer.png	Character	Purists Architects of the Flesh	Sorcerous Intermediary	2	{pur}	{pur}{arc}	2			Fixed	purist geomancer sorcerous intermediary	Sentinel. Sacrifice, except during an attack, and choose a Site or Edge in your smoked pile :: Return the chosen card to play. You may substitute {arc} for {pur} when playing this card.	
Rite of Renewing	rainforestrumble	rite_of_renewing.png	Event	Magic	Event	1	{mag}{mag}{mag}					Fixed	rite renewing	Sacrifice a State, Character, or Edge :: Reveal cards from the top of your deck until you reveal a card of the same type that you meet the resource requirements for with a printed cost less than or equal to the cost of the sacrificed card.  Put that card into play under your control, regardless of type. Reshuffle your deck.	
Wildfire	rainforestrumble	wildfire.png	Event	Magic	Fire Event	3	{mag}{mag}					Fixed	wildfire fire	Choose up to X Characters and assign X non-combat damage divided amongst the chosen Characters, minimum 1 per chosen character :: Inflict the assigned damage. X= the number of {mag} resources in your pool.	
Survival of the Fittest	rainforestrumble	survival_of_the_fittest.png	Edge	Chi	Edge	2	{chi}{chi}{chi}					Fixed	survival fittest	At the start of your turn, Characters you control gain +1 Fighting until they leave play.	
Chop The Willow	rainforestrumble	chop_the_willow.png	Event	Chi	Event	0	{chi}{chi}					Fixed	chop willow	Play in response to non-combat damage that would be inflicted by a single source from an opponent's card and target a Character :: Reduce that damage to zero and immediately inflict an equal amount of non-combat damage on target.	
Green Meditation	rainforestrumble	green_meditation.png	Event	Chi	Event	1	{chi}{chi}					Fixed	green meditation	Limited. Target a Character :: Until the end of the turn, all damage inflicted by target is reduced to zero, and all damage inflicted on target is reduced to zero.	
Grounded Serenity	rainforestrumble	grounded_serenity.png	Event	Chi	Event	0	{chi}{chi}					Fixed	grounded serenity	Target a Power-generating Site that has not been targeted with "Grounded Serenity" this turn :: Unturn target, and it gains Immunity to opponents' Events until the end of the turn.	
Knowing The Path	rainforestrumble	knowing_the_path.png	Event	Chi	Event	1	{chi}{chi}					Fixed	knowing path	Search your deck for a State, reveal it, and add it to your hand. When a {chi} State you control is smoked, you may Reload this card.	
Ancient Strength	rainforestrumble	ancient_strength.png	State	Chi	State	1	{chi}{chi}{chi}					Fixed	ancient strength	Not Cumulative. All numbers not written as words on subject Character are increased by one.	
Hammer Punch	rainforestrumble	hammer_punch.png	State	Chi	Kung Fu State	0	{chi}{chi}{chi}{chi}					Fixed	hammer punch kung fu	Subject Character gains +X combat damage. X= subject's printed cost minus one.	
Path of the Tapir	rainforestrumble	path_of_the_tapir.png	State	Chi	State	2	{chi}{chi}					Fixed	path tapir	Subject Character gains Stun, +2 Fighting, and Toughness: 1.	
Crypto Mining	rainforestrumble	crypto_mining.png	Edge	High Tech	Edge	1	{tek}{tek}{tek}					Fixed	crypto mining	Not Cumulative. If you have no Power in your pool at the end of your turn, gain 1 Power. Sacrifice this card and target a State :: Smoke target.	
Amani Point	rainforestrumble	amani_point.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	amani point	Turn and target a Character :: Target gains Immunity to your opponents' 0-cost Events until the end of the turn. Cancel all 0-cost States on target until the end of the turn.	
Butterfly Conservatory	rainforestrumble	butterfly_conservatory.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	8	Fixed	butterfly conservatory	Turn, target a Site you control, and discard a card :: Heal X damage from target. X = the printed cost of the discarded card.	
Defiled Ground	rainforestrumble	defiled_ground.png	Feng Shui Site	Unaligned	Former Arcanotower Feng Shui Site	0				1	5	Fixed	defiled ground former arcano tower	Unique. Characters at this location cannot turn to heal. Target a Character at this location and turn :: Cancel target until it leaves play.	
Dense Rainforest	rainforestrumble	dense_rainforest.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	dense rainforest	Limited. If this card is in your front row, turn and maintain and target a Character :: Target cannot unturn.	
Grim Watershed	rainforestrumble	grim_watershed.png	Feng Shui Site	Unaligned	Corrupted Rainforest Feng Shui Site	0				1	9	Fixed	grim watershed corrupted rainforest	Damage inflicted on this card is Corrupted. When a Character inflicts combat damage on this card, inflict 1 Corrupted non-combat damage on that Character. Heal all Corrupted damage from this card when it is seized.	
Lost Reliquary	rainforestrumble	lost_reliquary.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	8	Fixed	lost reliquary	Turn and maintain and target a Character :: Target gains Sentinel. When an opponent's effect would return one or more cards to a player's hand, turn in response :: Cancel that effect.	
Lost Village	rainforestrumble	lost_village.png	Feng Shui Site	Unaligned	Rainforest Feng Shui Site	0				1	7	Fixed	lost village rainforest	Turn in response to an opponent's effect that  would put one or more tokens into play or Reload one or more cards :: Cancel that effect.	
Mobbed-Up Speakeasy	rainforestrumble	mobbed_up_speakeasy.png	Feng Shui Site	Unaligned	Hood Feng Shui Site	0				1	7	Fixed	mobbed up speakeasy hood	When an attack is declared against a card at this location, turn :: Put a "Hood" token into play at this location.	
Moon Pool	rainforestrumble	moon_pool.png	Feng Shui Site	Chi	Feng Shui Site	0	{chi}	{chi}		1	7	Fixed	moon pool	Turn :: Look at the top card of your deck and either draw that card or put it on the bottom of your deck.	
